Social,Page url,Reg Date,Subscribers,media_kind,Post Url,media_views,post_likes,media_likes,reposts,post_views,Comments,ER Post,ER View,VR Post,Text,Date
VK,https://vk.com/club235734976,2026-03-09,1187,clip,https://vk.com/wall-235734976_794,10073,16,32,0,46,0,34.78,0.32,218.98,AdsGram,2026-02-22 11:09:15 MSK
VK,https://vk.com/club235734976,2026-03-10,1187,clip,https://vk.com/wall-235734976_671,3383,132,144,11,163,3,89.57,4.67,20.75,AdsGram,2026-02-21 18:19:19 MSK
VK,https://vk.com/club235734976,2026-03-11,1187,clip,https://vk.com/wall-235734976_662,2194754,42167,43676,5840,43895,555,110.63,2.28,50.00,,2026-02-21 15:11:57 MSK
VK,https://vk.com/club235734976,2026-03-12,1187,clip,https://vk.com/wall-235734976_644,1979,9,138,1,34,1,32.35,7.07,58.21,AdsGram,2026-02-21 11:26:36 MSK
VK,https://vk.com/club235734976,2026-03-13,1187,clip,https://vk.com/wall-235734976_85,2102139,75474,79300,31316,78474,819,137.13,5.30,26.79,AdsGram,2026-02-17 11:08:18 MSK
VK,https://vk.com/club235734976,2026-03-14,1187,clip,https://vk.com/wall-235734976_81,546312,802,944,1060,982,42,193.89,0.26,556.33,AdsGram,2026-02-16 14:44:25 MSK
VK,https://vk.com/club235734976,2026-03-15,1187,clip,https://vk.com/wall-235734976_79,807,15,15,2,46,0,36.96,2.11,17.54,AdsGram,2026-02-16 11:45:48 MSK
VK,https://vk.com/club235734976,2026-03-16,1187,clip,https://vk.com/wall-235734976_70,849,4,4,0,41,0,9.76,0.47,20.71,AdsGram,2026-02-15 11:08:57 MSK
VK,https://vk.com/club235734976,2026-03-17,1187,clip,https://vk.com/wall-235734976_67,179702,410,1171,212,613,94,116.80,0.80,293.15,AdsGram,2026-02-14 16:22:07 MSK
VK,https://vk.com/club235734976,2026-03-18,1187,clip,https://vk.com/wall-235734976_65,9113,36,78,12,58,0,82.76,0.99,157.12,AdsGram,2026-02-14 11:43:05 MSK
VK,https://vk.com/club235734976,2026-03-19,1187,clip,https://vk.com/wall-235734976_56,18222,68,77,217,116,2,247.41,1.62,157.09,AdsGram,2026-02-13 11:21:16 MSK
VK,https://vk.com/club235734976,2026-03-20,1187,clip,https://vk.com/wall-235734976_52,800,9,12,3,33,0,36.36,1.88,24.24,AdsGram,2026-02-12 18:14:11 MSK
